start_latitude,start_longitude,end_latitude,end_longitude,walking_time_seconds,distance,public_transport_travel_time,public_transport_distance
44.43576365472765,26.047611531803636,44.435424843081314,26.04749965942246,54,65,54,0
44.43528899215167,26.048196078985345,44.43500268300423,26.04731723818962,74,93,74,0
44.43529139862839,26.047947239857645,44.435527676340456,26.047907186717556,38,47,38,0
44.435919765466906,26.047931633401,44.43527209466788,26.047787222573174,66,79,66,0
44.4351719009485,26.048132162776422,44.43547077389916,26.04793187147699,32,37,32,0
44.43554424299191,26.047692604820433,44.435115845306704,26.047341703115393,67,82,67,0
44.435790859731114,26.048040759300488,44.43561625451703,26.047285793756362,107,130,107,0
44.435544151779204,26.04801877532494,44.43557929303992,26.04751320974137,36,44,36,0
44.435684193466656,26.047380688372428,44.4354815923821,26.047510078244876,45,54,45,0
44.43572303615752,26.04800159781474,44.4356425080401,26.047940884622957,0,0,0,0
44.435478734335554,26.047611166267323,44.43533211325756,26.047996360155516,25,30,25,0
44.43589297884537,26.047527752724296,44.43555555343722,26.048009358928102,32,39,32,0
44.435286591467616,26.047782221948736,44.435522321940645,26.047791186938312,27,34,27,0
44.435104844663286,26.048024663516454,44.435797151681925,26.047886238798664,80,99,80,0
44.435502932054064,26.04824068452615,44.43522679591548,26.047708702097065,49,58,49,0
44.43541269996328,26.04793647545817,44.43531215078257,26.048220776300777,19,22,19,0
44.43524851476737,26.047282135281637,44.43498924014388,26.047793675193358,82,104,82,0
44.4356362582831,26.04745188824566,44.43546746448364,26.047938730571314,38,45,38,0
44.435138829721296,26.04737408339372,44.435256418831,26.047459545475313,9,12,9,0
44.43566316251747,26.047939842158588,44.43562020807982,26.047866722136618,4,4,4,0
44.435076501911674,26.047534708465246,44.43552434626568,26.04771876374439,50,60,50,0
44.43595924818464,26.048188935050568,44.435597880586464,26.04825280359429,88,106,88,0
44.435091459300395,26.04791653997943,44.43562233011716,26.04789783480831,56,68,56,0
44.435710484784174,26.047306719443746,44.43499959151538,26.047717028798314,94,115,94,0
44.43516310083501,26.04778269877045,44.43498024151955,26.04810283807531,39,48,39,0
44.435323392507435,26.047836974242678,44.435206907632704,26.047791718011077,15,19,15,0
44.435715581173525,26.04784490489447,44.43579172885855,26.047642884726002,9,11,9,0
44.435862741738525,26.04729645311392,44.43526169709547,26.04759167780158,88,107,88,0
44.43554031155768,26.04825388538039,44.43569622601076,26.04740213644046,61,74,61,0
44.435181303049895,26.047816177394335,44.43584095379482,26.047807677398303,67,82,67,0
44.43509040662403,26.047284985220642,44.43555659114377,26.04732627368336,28,35,28,0
44.43584129448957,26.047890207759092,44.435855135669726,26.04776744941913,1,2,1,0
44.43532566971543,26.048120501701675,44.43542390683595,26.04737520628367,55,68,55,0
44.435304823715434,26.04803130038978,44.43596469804785,26.04742856225934,83,104,83,0
44.435925944431574,26.047550121959425,44.43522492068055,26.047517096863096,76,92,76,0
44.435470554470015,26.04751540890456,44.43506612241416,26.047530447700463,34,42,34,0
44.43572922825134,26.047844404471977,44.4350843621609,26.04804172353749,79,94,79,0
44.435550180702904,26.047917769607736,44.43529411797752,26.04784932727666,36,41,36,0
44.43563451543508,26.04795614668748,44.4354916280512,26.047570882660665,12,14,12,0
44.435871836975906,26.047597909755225,44.435558001853416,26.047899563957007,29,36,29,0
44.43555161152343,26.047848862643157,44.43580106339221,26.048079840745704,23,29,23,0
44.43521877872334,26.047998016558477,44.435334534714606,26.048250307688313,36,43,36,0
44.43530386993125,26.04756474246524,44.43551725060278,26.047688674961098,34,43,34,0
44.43500298567053,26.04734291982425,44.43566247719562,26.047391036075066,85,106,85,0
44.43583521210587,26.047598990498443,44.4355308548278,26.047324317875052,64,78,64,0
44.43519541200694,26.048249093768366,44.4357260820415,26.047380152142956,84,100,84,0
44.43510523430892,26.04777626701969,44.435039349683706,26.047415150980594,35,43,35,0
44.43567054127639,26.048006598773526,44.435824915484496,26.047592963731123,12,15,12,0
44.43555180051182,26.047399851713234,44.4350972105983,26.048103972683176,70,87,70,0
44.435724147657844,26.04755894112445,44.43529885801824,26.04749133331644,55,66,55,0
44.435555827101496,26.047647556245362,44.43509281219309,26.047969944641892,56,66,56,0
44.43568577834567,26.047915169292402,44.43499084125868,26.047890219604497,61,73,61,0
44.43577485264408,26.047498522525107,44.43522149926955,26.047908406208926,60,72,60,0
44.435963384390774,26.047824808832612,44.43579349712548,26.047835844870256,14,17,14,0
44.435131998209016,26.04813577653482,44.4356632130583,26.047559425215496,73,88,73,0
44.43583135507961,26.04766358640031,44.43556815979005,26.04770023748938,22,27,22,0
44.435357956229055,26.048000497040995,44.43581190406094,26.04741162716093,55,67,55,0
44.435154641052804,26.047754889163595,44.43535007507667,26.047741149503448,17,21,17,0
44.43546099042815,26.047480441162822,44.43505214179866,26.048032500125792,74,93,74,0
44.435702662709694,26.04749983658417,44.43557158747306,26.047939479861018,10,13,10,0
44.43498802170918,26.048224520039586,44.43539178248697,26.048053631175403,40,48,40,0
44.435813941842326,26.047543883914052,44.43500031804083,26.04741763635575,102,123,102,0
44.435050669837274,26.047553689156157,44.43552424980775,26.047990896581023,49,59,49,0
44.43544638869123,26.047448760757444,44.435945275240535,26.04760375471746,72,89,72,0
